category
AD_NETWORK
ANALYTICS
PAYMENT
MEDIA_PLAYER
MONETIZATION
MOBILE_MARKETING
GEO_LOCATION
DEV_TOOL
DEV_PLATFORM
SOCIAL
PUSH_MESSAGING
MEDIATION
MESSAGING
SUPPORT_REVIEWS
RECORDING_SOUND
SECURITY
VIDEO_AD
SPEECH_RECOGNITION
CRASH_REPORTING
ATTRIBUTION
USER_ACQUISITION
GAME_DEV
SUPPORT
CRYPTOCURRENCY
AUDIO_RECOGNITION
GAME_DEV_PLATFORM
PHOTO
PUSH_NOTIFICATIONS
VIDEO
MULTIPLAYER_GAME_DEV
MULTI_MEDIA
MULTI_USER
SPEECH_SYNTHESIS
EBOOK_READER
REVIEWS
DATA_RECOVERY
TRANSLATER
